KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1996-Q1,1.4475338667886861,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1996-Q2,1.4342580106833092,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1996-Q3,1.6528412938217718,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1996-Q4,1.9882990592558825,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1997-Q1,2.1303287544060856,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1997-Q2,2.5522541209404004,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1997-Q3,2.86507060246739,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1997-Q4,3.3692468258464503,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1998-Q1,3.804361686768565,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.GY,Q,Y,I9,W2,S1,S1,B,B1GQ,_Z,_Z,_Z,EUR,LR,GY,1998-Q2,2.9719355760293054,A,F,,,,P3M,"Gross domestic product at market prices - Euro area 20 (fixed composition) as of 1 January 2023 - Domestic (home or reference area), Total economy, Euro, Chain linked volume (rebased), Growth rate, over 1 year, Calendar and seasonally adjusted data",4F0,,YTYPCT(MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N),1,,,,2020,,,,S,"Real GDP (volume), annual growth",,1,
