survey,variable,rounds_parsed,first_round,last_round,target_groups,rows_kept,rows_dropped,rows_all_nan,note
ecb,hicp,111,1999Q1,2026Q3,633,27698,3,7870,
ecb,hicpx,39,2017Q1,2026Q3,234,6455,3,5395,
ecb,rgdp,111,1999Q1,2026Q3,633,27120,3,8481,
ecb,unemp,111,1999Q1,2026Q3,633,24980,9,9879,
us,CPI10,140,1991Q4,2026Q3,140,4664,0,0,not subject to histogram sum filter
us,PCE10,79,2007Q1,2026Q3,79,2506,0,0,not subject to histogram sum filter
us,PRCCPI,79,2007Q1,2026Q3,158,5150,0,1206,
us,PRCPCE,79,2007Q1,2026Q3,158,4900,0,1456,
us,PRGDP,232,1968Q4,2026Q3,553,17673,9,3668,
us,PRPGDP,232,1968Q4,2026Q3,413,13932,0,1942,
us,PRUNEMP,70,2009Q2,2026Q3,280,7917,0,3035,
us,RECESS,232,1968Q4,2026Q3,1156,41660,0,0,not subject to histogram sum filter
us,RGDP10,35,1992Q1,2026Q1,35,1127,0,0,not subject to histogram sum filter
