survey,variable,year,quarter,n,mean,median,sd,iqr
us,CPI10,1991,4,36,3.897638888888889,4.0,0.7313885874642944,1.0
us,CPI10,1992,1,36,3.783333333333333,3.7,0.810467237374308,0.5249999999999999
us,CPI10,1992,2,36,4.019444444444444,3.9,0.8684368368986543,1.0
us,CPI10,1992,3,34,3.764705882352941,3.75,0.6992993692569279,0.75
us,CPI10,1992,4,34,3.644117647058824,3.6,0.8132207484685512,1.0
us,CPI10,1993,1,31,3.551612903225806,3.5,0.6228274066662639,1.0
us,CPI10,1993,2,33,3.8757575757575755,3.7,1.036831201012942,0.6000000000000001
us,CPI10,1993,3,34,3.3344117647058824,3.45,0.554038567613169,0.5
us,CPI10,1993,4,32,3.55625,3.45,0.8556972256210041,0.7999999999999998
us,CPI10,1994,1,26,3.338461538461539,3.45,0.4148030116350874,0.3999999999999999
us,CPI10,1994,2,30,3.4566666666666666,3.5,0.5661018144890689,0.6250000000000004
us,CPI10,1994,3,26,3.4038461538461537,3.5,0.5674368822914275,0.7749999999999999
us,CPI10,1994,4,26,3.488461538461538,3.5,0.4885299770347143,0.7250000000000001
us,CPI10,1995,1,28,3.3642857142857143,3.3,0.4754836023299395,0.5
us,CPI10,1995,2,45,3.364444444444444,3.35,0.5004114468730868,0.7000000000000002
us,CPI10,1995,3,47,3.21595744680851,3.2,0.5159527260720362,0.5
us,CPI10,1995,4,42,3.0250000000000004,3.0,0.4105692063108627,0.4874999999999998
us,CPI10,1996,1,38,2.9994736842105265,3.0,0.5251612229587912,0.4500000000000002
us,CPI10,1996,2,37,3.0513513513513515,3.0,0.3602635004962198,0.5
us,CPI10,1996,3,40,3.03375,3.0,0.4142319893799138,0.5125000000000002
us,CPI10,1996,4,32,2.9953125,3.0,0.41955417486322466,0.5375000000000001
us,CPI10,1997,1,36,2.9324999999999997,3.0,0.474398114908324,0.7625000000000002
us,CPI10,1997,2,36,2.886111111111111,2.8499999999999996,0.42705153772468246,0.7000000000000002
us,CPI10,1997,3,33,2.887878787878788,3.0,0.4284839376785142,0.6000000000000001
us,CPI10,1997,4,36,2.708333333333334,2.6500000000000004,0.40470447771888346,0.5
us,CPI10,1998,1,31,2.617741935483871,2.6,0.412421383841166,0.7000000000000002
us,CPI10,1998,2,27,2.435185185185185,2.5,0.4094590274455982,0.34999999999999964
us,CPI10,1998,3,30,2.5899999999999994,2.5,0.4309972397703437,0.3999999999999999
us,CPI10,1998,4,30,2.53,2.5,0.4196878971741772,0.6624999999999996
us,CPI10,1999,1,31,2.3790322580645156,2.3,0.45602890872333723,0.5
us,CPI10,1999,2,34,2.4338235294117645,2.5,0.47205556109733876,0.375
us,CPI10,1999,3,35,2.5042857142857144,2.5,0.42502100788414815,0.30000000000000027
us,CPI10,1999,4,40,2.4050000000000002,2.5,0.4100969241282934,0.2999999999999998
us,CPI10,2000,1,34,2.5058823529411764,2.5,0.4525625196860638,0.25000000000000044
us,CPI10,2000,2,30,2.6766666666666667,2.5,0.46641208162424086,0.2999999999999998
us,CPI10,2000,3,31,2.5306451612903222,2.5,0.42985994218172174,0.5249999999999999
us,CPI10,2000,4,33,2.5818181818181816,2.5,0.4026898197236813,0.5
us,CPI10,2001,1,34,2.525,2.5,0.4097763617714749,0.4125000000000001
us,CPI10,2001,2,29,2.6120689655172415,2.5,0.44050603458121096,0.25
us,CPI10,2001,3,30,2.5766666666666667,2.5,0.3932037581233156,0.2999999999999998
us,CPI10,2001,4,26,2.5203846153846152,2.55,0.4169458551824759,0.3999999999999999
us,CPI10,2002,1,33,2.5893939393939394,2.5,0.3772345042703824,0.44999999999999973
us,CPI10,2002,2,34,2.5455882352941175,2.5,0.31559651240987485,0.3374999999999999
us,CPI10,2002,3,32,2.5437499999999997,2.5,0.3057908836380329,0.30000000000000027
us,CPI10,2002,4,28,2.3857142857142857,2.45,0.35819949512370663,0.44999999999999973
us,CPI10,2003,1,34,2.473529411764706,2.5,0.2889991334048156,0.33750000000000036
us,CPI10,2003,2,33,2.463636363636364,2.5,0.36039750781097757,0.5
us,CPI10,2003,3,27,2.459259259259259,2.5,0.32166544882635584,0.37500000000000044
us,CPI10,2003,4,31,2.4574193548387098,2.5,0.3909472917750378,0.5
us,CPI10,2004,1,27,2.42037037037037,2.5,0.3831195985337043,0.6000000000000001
us,CPI10,2004,2,25,2.5064,2.5,0.35311565621856345,0.4500000000000002
us,CPI10,2004,3,20,2.513,2.5,0.32744786648130403,0.5
us,CPI10,2004,4,25,2.5004000000000004,2.5,0.2896187148649065,0.10000000000000009
us,CPI10,2005,1,33,2.4945454545454546,2.45,0.4354242967288553,0.20000000000000018
us,CPI10,2005,2,45,2.523111111111111,2.5,0.36604658311491045,0.20999999999999996
us,CPI10,2005,3,37,2.700810810810811,2.5,0.6731533520940346,0.30000000000000027
us,CPI10,2005,4,31,2.5329032258064514,2.5,0.3311816575877665,0.4450000000000003
us,CPI10,2006,1,49,2.5120408163265306,2.5,0.3538477756031818,0.40000000000000036
us,CPI10,2006,2,32,2.5045874999999995,2.5,0.38091440046796726,0.42500000000000027
us,CPI10,2006,3,48,2.634445833333333,2.5,0.5488382085197838,0.3875000000000002
us,CPI10,2006,4,46,2.5789130434782606,2.5,0.49431087052074413,0.2875000000000001
us,CPI10,2007,1,46,2.4104673913043477,2.3499999999999996,0.40238268686764,0.3999999999999999
us,CPI10,2007,2,49,2.4718367346938774,2.4,0.44731920681892884,0.3999999999999999
us,CPI10,2007,3,44,2.458636363636364,2.4,0.4051619883287046,0.5
us,CPI10,2007,4,45,2.4868333333333332,2.4,0.4549626608055574,0.3999999999999999
us,CPI10,2008,1,45,2.522513333333333,2.5,0.5207019595961521,0.5499999999999998
us,CPI10,2008,2,45,2.578444444444444,2.5,0.5111126701776837,0.40000000000000036
us,CPI10,2008,3,41,2.512926829268293,2.5,0.4577676479527524,0.5
us,CPI10,2008,4,47,2.595106382978723,2.5,0.5376756430528399,0.4750000000000001
us,CPI10,2009,1,39,2.408648717948718,2.4,0.6033709707581034,0.7250000000000001
us,CPI10,2009,2,44,2.474090909090909,2.5,0.7009306709631337,0.7999999999999998
