survey,variable,concept,year,quarter,horizon_quarter,target_year,target_quarter,n,mean_probability,median,disagreement,target_period,horizon_quarters,realized,source,error,brier_score
us,RECESS,fixed_weighted_real_gnp,1968,4,0,1968,4,86,2.8255813953488373,0.0,10.40383623869254,1968Q4,0,,,,
us,RECESS,fixed_weighted_real_gnp,1968,4,1,1969,1,86,17.686046511627907,10.0,19.118369132948906,1969Q1,1,,,,
us,RECESS,fixed_weighted_real_gnp,1968,4,2,1969,2,86,19.813953488372093,19.0,18.296583819942022,1969Q2,2,,,,
us,RECESS,fixed_weighted_real_gnp,1968,4,3,1969,3,86,12.63953488372093,10.0,16.673270465521032,1969Q3,3,,,,
us,RECESS,fixed_weighted_real_gnp,1968,4,4,1969,4,86,9.290697674418604,5.0,12.554695656882158,1969Q4,4,,,,
us,RECESS,fixed_weighted_real_gnp,1969,1,0,1969,1,62,6.661290322580645,0.0,11.841775936242295,1969Q1,0,,,,
us,RECESS,fixed_weighted_real_gnp,1969,1,1,1969,2,62,17.419354838709676,10.0,16.99329509734554,1969Q2,1,,,,
us,RECESS,fixed_weighted_real_gnp,1969,1,2,1969,3,62,15.725806451612904,15.0,14.09356248211696,1969Q3,2,,,,
us,RECESS,fixed_weighted_real_gnp,1969,1,3,1969,4,62,11.806451612903226,10.0,12.454295078046886,1969Q4,3,,,,
us,RECESS,fixed_weighted_real_gnp,1969,2,0,1969,2,58,0.5172413793103449,0.0,2.915424072011003,1969Q2,0,,,,
us,RECESS,fixed_weighted_real_gnp,1969,2,1,1969,3,58,4.913793103448276,0.0,8.137598427482715,1969Q3,1,,,,
us,RECESS,fixed_weighted_real_gnp,1969,2,2,1969,4,58,13.0,10.0,13.04916479144876,1969Q4,2,,,,
us,RECESS,fixed_weighted_real_gnp,1969,2,3,1970,1,58,22.086206896551722,20.0,18.778752908501357,1970Q1,3,,,,
us,RECESS,fixed_weighted_real_gnp,1969,2,4,1970,2,58,20.689655172413794,17.5,18.17865231195668,1970Q2,4,,,,
